experiment,model,DR,granularity,split,features,MAE,RMSE,R2,R2_std
E1E2,ets,load_leveling,raw,random,env_lags,50.769,65.354,-0.4413,
E1E2,ets,load_leveling,ma3,random,env_lags,41.985,52.178,-0.3258,
E1E2,ets,load_leveling,ma6,random,env_lags,35.422,43.754,-0.2004,
E1E2,ets,load_leveling,ma12,random,env_lags,27.244,34.588,-0.0308,
E1E2,lstm,load_leveling,raw,random,env_lags,14.897,30.351,0.6884,
E1E2,lstm,load_leveling,ma3,random,env_lags,10.174,17.538,0.8499,
E1E2,lstm,load_leveling,ma6,random,env_lags,7.884,12.314,0.9048,
E1E2,lstm,load_leveling,ma12,random,env_lags,6.11,8.589,0.9363,
E1E2,cnn_lstm,load_leveling,raw,random,env_lags,15.412,30.244,0.6902,0.001
E1E2,cnn_lstm,load_leveling,ma3,random,env_lags,10.595,17.237,0.855,0.0024
E1E2,cnn_lstm,load_leveling,ma6,random,env_lags,8.205,12.028,0.9092,0.0028
E1E2,cnn_lstm,load_leveling,ma12,random,env_lags,6.396,8.569,0.9367,0.0028
E1E2,linear_regression,tou_optimization,raw,random,env_lags,25.581,49.703,0.552,
E1E2,linear_regression,tou_optimization,ma3,random,env_lags,18.797,30.178,0.7387,
E1E2,linear_regression,tou_optimization,ma6,random,env_lags,15.204,22.078,0.8053,
E1E2,linear_regression,tou_optimization,ma12,random,env_lags,12.015,16.461,0.8366,
E1E2,random_forest,tou_optimization,raw,random,env_lags,22.075,45.001,0.6328,
E1E2,random_forest,tou_optimization,ma3,random,env_lags,14.923,25.828,0.8086,
E1E2,random_forest,tou_optimization,ma6,random,env_lags,11.584,18.059,0.8697,
E1E2,random_forest,tou_optimization,ma12,random,env_lags,9.125,13.018,0.8978,
E1E2,svr,tou_optimization,raw,random,env_lags,31.613,50.847,0.5311,
E1E2,svr,tou_optimization,ma3,random,env_lags,22.995,31.898,0.708,
E1E2,svr,tou_optimization,ma6,random,env_lags,18.353,24.036,0.7692,
E1E2,svr,tou_optimization,ma12,random,env_lags,14.363,18.256,0.799,
E1E2,knn,tou_optimization,raw,random,env_lags,27.256,54.048,0.4702,
E1E2,knn,tou_optimization,ma3,random,env_lags,19.062,34.219,0.664,
E1E2,knn,tou_optimization,ma6,random,env_lags,14.923,24.691,0.7564,
E1E2,knn,tou_optimization,ma12,random,env_lags,12.024,18.342,0.7971,
E1E2,gbm,tou_optimization,raw,random,env_lags,21.945,44.807,0.6359,
E1E2,gbm,tou_optimization,ma3,random,env_lags,15.041,25.879,0.8078,
E1E2,gbm,tou_optimization,ma6,random,env_lags,11.66,18.225,0.8673,
E1E2,gbm,tou_optimization,ma12,random,env_lags,9.269,13.179,0.8953,
E1E2,xgboost,tou_optimization,raw,random,env_lags,21.815,44.535,0.6403,
